Genus,Year,Forecast,CI_Lower,CI_Upper
Longidorus,2024,9.039665993516792,3.4013704498407593,14.677961537192825
Longidorus,2025,9.267432048810406,3.6291365051343734,14.90572759248644
Longidorus,2026,9.498038316433849,3.8597427727578166,15.136333860109882
Longidorus,2027,9.73148479638894,4.093189252712908,15.369780340064974
Longidorus,2028,9.96777148867477,4.329475944998738,15.606067032350804
Longidorus,2029,10.20689839328952,4.568602849613488,15.845193936965554
Longidorus,2030,10.448865510236828,4.810569966560796,16.08716105391286
Longidorus,2031,10.693672839513965,5.055377295837933,16.33196838319
Longidorus,2032,10.941320381121841,5.303024837445808,16.579615924797874
Longidorus,2033,11.191808135060455,5.553512591384423,16.83010367873649
Longidorus,2034,11.445136101329808,5.806840557653776,17.08343164500584
Longidorus,2035,11.70130427992899,6.063008736252958,17.339599823605024
Longidorus,2036,11.960312670859821,6.322017127183789,17.598608214535854
Longidorus,2037,12.22216127412139,6.583865730445358,17.860456817797424
Longidorus,2038,12.486850089712789,6.848554546036756,18.125145633388822
Longidorus,2039,12.754379117635835,7.116083573959803,18.39267466131187
Longidorus,2040,13.024748357888711,7.386452814212679,18.663043901564745
Longidorus,2041,13.297957810472326,7.6596622667962935,18.93625335414836
Longidorus,2042,13.57400747538668,7.935711931710647,19.212303019062713
Longidorus,2043,13.852897352631771,8.214601808955738,19.491192896307805
Bursaphelenchus,2024,9.667434692534698,0.16596824552021872,19.168901139549178
Bursaphelenchus,2025,9.962671593750201,0.4612051467357219,19.46413804076468
Bursaphelenchus,2026,10.261146948036185,0.7596805010217054,19.762613395050664
Bursaphelenchus,2027,10.56286075539083,1.0613943083763502,20.06432720240531
Bursaphelenchus,2028,10.867813015815955,1.3663465688014753,20.369279462830434
Bursaphelenchus,2029,11.17600372931156,1.6745372822970808,20.67747017632604
Bursaphelenchus,2030,11.487432895876736,1.985966448862257,20.988899342891216
Bursaphelenchus,2031,11.802100515511484,2.300634068497004,21.303566962525963
Bursaphelenchus,2032,12.12000658821762,2.618540141203141,21.6214730352321
Bursaphelenchus,2033,12.441151113993328,2.939684666978849,21.942617561007808
Bursaphelenchus,2034,12.765534092837697,3.264067645823218,22.267000539852177
Bursaphelenchus,2035,13.093155524753456,3.5916890777389767,22.594621971767936
Bursaphelenchus,2036,13.424015409738786,3.9225489627243064,22.925481856753265
Bursaphelenchus,2037,13.758113747794596,4.256647300780116,23.259580194809075
Bursaphelenchus,2038,14.095450538919067,4.593984091904588,23.596916985933547
Bursaphelenchus,2039,14.436025783114928,4.934559336100449,23.937492230129408
Bursaphelenchus,2040,14.77983948037945,5.278373033364971,24.28130592739393
Bursaphelenchus,2041,15.126891630715363,5.625425183700884,24.628358077729843
Bursaphelenchus,2042,15.477182234120846,5.975715787106367,24.978648681135326
Bursaphelenchus,2043,15.8307112905959,6.329244843581421,25.33217773761038
