Genus,Year,Forecast,CI_Lower,CI_Upper
bursaphelenchus,2025,106.81467771498137,82.44715092116785,131.18220450879488
bursaphelenchus,2026,111.71489053097321,87.34736373715968,136.08241732478672
bursaphelenchus,2027,116.7283130067226,92.36078621290908,141.0958398005361
bursaphelenchus,2028,121.85494514225866,97.48741834844513,146.22247193607217
bursaphelenchus,2029,127.09478693755227,102.72726014373875,151.46231373136578
bursaphelenchus,2030,132.44783839266165,108.08031159884813,156.81536518647516
bursaphelenchus,2031,137.9140995075577,113.54657271374417,162.2816263013712
bursaphelenchus,2032,143.4935702822113,119.12604348839777,167.8610970760248
bursaphelenchus,2033,149.18625071665156,124.81872392283803,173.55377751046507
bursaphelenchus,2034,154.99214081087848,130.62461401706497,179.359667604692
bursaphelenchus,2035,160.91124056486296,136.54371377104945,185.27876735867648
bursaphelenchus,2036,166.9435499786632,142.5760231848497,191.31107677247672
bursaphelenchus,2037,173.08906905222102,148.7215422584075,197.45659584603453
bursaphelenchus,2038,179.3477977855655,154.98027099175198,203.715324579379
bursaphelenchus,2039,185.71973617869662,161.3522093848831,210.08726297251013
bursaphelenchus,2040,192.2048842315853,167.8373574377718,216.57241102539882
bursaphelenchus,2041,198.80324194428977,174.43571515047626,223.17076873810328
bursaphelenchus,2042,205.51480931675178,181.14728252293827,229.8823361105653
bursaphelenchus,2043,212.33958634900046,187.97205955518695,236.70711314281397
globodera,2024,54.6074708018532,40.0518355734947,69.1631060302117
globodera,2025,55.80737669530208,41.251741466943585,70.36301192366058
globodera,2026,57.017864432695205,42.46222920433671,71.5734996610537
globodera,2027,58.238934014036204,43.68329878567771,72.7945692423947
globodera,2028,59.470585439328715,44.91495021097022,74.02622066768721
globodera,2029,60.712818708565464,46.15718348020697,75.26845393692396
globodera,2030,61.96563382175009,47.40999859339159,76.52126905010859
globodera,2031,63.22903077888623,48.67339555052773,77.78466600724472
globodera,2032,64.50300957997024,49.94737435161174,79.05864480832874
globodera,2033,65.78757022499849,51.23193499663999,80.34320545335699
globodera,2034,67.08271271398189,52.527077485623394,81.63834794234039
globodera,2035,68.38843704690589,53.832801818547395,82.94407227526439
globodera,2036,69.7047432237814,55.14910799542291,84.2603784521399
globodera,2037,71.03163124460843,56.47599601624994,85.58726647296693
globodera,2038,72.3691011093797,57.8134658810212,86.9247363377382
globodera,2039,73.71715281809884,59.16151758974034,88.27278804645734
globodera,2040,75.07578637076585,60.52015114240736,89.63142159912435
globodera,2041,76.44500176738438,61.889366539025886,91.00063699574288
globodera,2042,77.82479900794715,63.26916377958865,92.38043423630565
globodera,2043,79.21517809245779,64.6595428640993,93.77081332081629
ditylenchus,2024,21.46596029298962,12.99501161445372,29.936908971525522
ditylenchus,2025,22.30793593695853,13.836987258422628,30.77888461549443
ditylenchus,2026,23.169385405512003,14.698436726976102,31.640334084047904
ditylenchus,2027,24.050308698650042,15.579360020114141,32.52125737718595
ditylenchus,2028,24.950705816379923,16.47975713784402,33.42165449491583
ditylenchus,2029,25.870576758701645,17.399628080165744,34.34152543723755
ditylenchus,2030,26.809921525600657,18.338972847064756,35.28087020413656
ditylenchus,2031,27.768740117098787,19.297791438562886,36.23968879563469
ditylenchus,2032,28.747032533181482,20.27608385464558,37.21798121171739
ditylenchus,2033,29.74479877385602,21.273850095320118,38.21574745239192
ditylenchus,2034,30.76203883911512,22.29109016057922,39.232987517651026
ditylenchus,2035,31.798752728966065,23.327804050430164,40.26970140750197
ditylenchus,2036,32.854940443401574,24.383991764865673,41.32588912193748
ditylenchus,2037,33.93060198242165,25.459653303885748,42.401550660957554
ditylenchus,2038,35.02573734604084,26.55478866750494,43.496686024576746
ditylenchus,2039,36.1403465342446,27.6693978557087,44.611295212780504
ditylenchus,2040,37.27442954703292,28.803480868497022,45.74537822556883
ditylenchus,2041,38.42798638441309,29.957037705877188,46.89893506294899
ditylenchus,2042,39.60101704637782,31.13006836784192,48.071965724913724
ditylenchus,2043,40.79352153294167,32.32257285440576,49.26447021147757
