Genus,Year,Forecasted_Count,Model,RMSE
Bursaphelenchus,2027,14.827203180510878,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2028,15.11031909437861,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2029,15.391664844173647,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2030,15.671240429895988,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2031,15.949045851544724,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2032,16.225081109119856,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2033,16.4993462026232,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2034,16.77184113205294,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2035,17.042565897409077,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2036,17.311520498692516,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2037,17.57870493590235,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2038,17.84411920903858,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2039,18.107763318103025,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2040,18.369637263093864,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2041,18.629741044011098,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2042,18.888074660855636,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2043,19.14463811362657,Polynomial (degree=2),8.943663885851842
Longidorus,2023,5.0,Moving Average,3.4409301068170506
Longidorus,2024,3.0,Moving Average,3.4409301068170506
Longidorus,2025,1.0,Moving Average,3.4409301068170506
Longidorus,2026,0.0,Moving Average,3.4409301068170506
Longidorus,2027,0.0,Moving Average,3.4409301068170506
Longidorus,2028,0.0,Moving Average,3.4409301068170506
Longidorus,2029,0.0,Moving Average,3.4409301068170506
Longidorus,2030,0.0,Moving Average,3.4409301068170506
Longidorus,2031,0.0,Moving Average,3.4409301068170506
Longidorus,2032,0.0,Moving Average,3.4409301068170506
Longidorus,2033,0.0,Moving Average,3.4409301068170506
Longidorus,2034,0.0,Moving Average,3.4409301068170506
Longidorus,2035,0.0,Moving Average,3.4409301068170506
Longidorus,2036,0.0,Moving Average,3.4409301068170506
Longidorus,2037,0.0,Moving Average,3.4409301068170506
Longidorus,2038,0.0,Moving Average,3.4409301068170506
Longidorus,2039,0.0,Moving Average,3.4409301068170506
Longidorus,2040,0.0,Moving Average,3.4409301068170506
Longidorus,2041,0.0,Moving Average,3.4409301068170506
Longidorus,2042,0.0,Moving Average,3.4409301068170506
Rotylenchus,2024,11.52214380737314,Polynomial (degree=2),7.764487398055613
Rotylenchus,2025,11.769838845018967,Polynomial (degree=2),7.764487398055613
Rotylenchus,2026,12.020057771563188,Polynomial (degree=2),7.764487398055613
Rotylenchus,2027,12.272800587007623,Polynomial (degree=2),7.764487398055613
Rotylenchus,2028,12.528067291347725,Polynomial (degree=2),7.764487398055613
Rotylenchus,2029,12.785857884586221,Polynomial (degree=2),7.764487398055613
Rotylenchus,2030,13.046172366722203,Polynomial (degree=2),7.764487398055613
Rotylenchus,2031,13.30901073775749,Polynomial (degree=2),7.764487398055613
Rotylenchus,2032,13.574372997689352,Polynomial (degree=2),7.764487398055613
Rotylenchus,2033,13.842259146520519,Polynomial (degree=2),7.764487398055613
Rotylenchus,2034,14.112669184249171,Polynomial (degree=2),7.764487398055613
Rotylenchus,2035,14.385603110875309,Polynomial (degree=2),7.764487398055613
Rotylenchus,2036,14.661060926399841,Polynomial (degree=2),7.764487398055613
Rotylenchus,2037,14.939042630822769,Polynomial (degree=2),7.764487398055613
Rotylenchus,2038,15.219548224144091,Polynomial (degree=2),7.764487398055613
Rotylenchus,2039,15.5025777063629,Polynomial (degree=2),7.764487398055613
Rotylenchus,2040,15.788131077479193,Polynomial (degree=2),7.764487398055613
Rotylenchus,2041,16.07620833749661,Polynomial (degree=2),7.764487398055613
Rotylenchus,2042,16.366809486409693,Polynomial (degree=2),7.764487398055613
Rotylenchus,2043,16.65993452422026,Polynomial (degree=2),7.764487398055613
Globodera,2024,13.291202937411981,Polynomial (degree=2),6.529471053006607
Globodera,2025,13.644679329446262,Polynomial (degree=2),6.529471053006607
Globodera,2026,14.00146750339809,Polynomial (degree=2),6.529471053006607
Globodera,2027,14.361567459269281,Polynomial (degree=2),6.529471053006607
Globodera,2028,14.724979197059838,Polynomial (degree=2),6.529471053006607
Globodera,2029,15.091702716771579,Polynomial (degree=2),6.529471053006607
Globodera,2030,15.461738018400865,Polynomial (degree=2),6.529471053006607
Globodera,2031,15.835085101949517,Polynomial (degree=2),6.529471053006607
Globodera,2032,16.211743967417533,Polynomial (degree=2),6.529471053006607
Globodera,2033,16.591714614806733,Polynomial (degree=2),6.529471053006607
Globodera,2034,16.97499704411348,Polynomial (degree=2),6.529471053006607
Globodera,2035,17.3615912553405,Polynomial (degree=2),6.529471053006607
Globodera,2036,17.751497248485975,Polynomial (degree=2),6.529471053006607
Globodera,2037,18.144715023550816,Polynomial (degree=2),6.529471053006607
Globodera,2038,18.54124458053775,Polynomial (degree=2),6.529471053006607
Globodera,2039,18.94108591944132,Polynomial (degree=2),6.529471053006607
Globodera,2040,19.344239040265165,Polynomial (degree=2),6.529471053006607
Globodera,2041,19.750703943007466,Polynomial (degree=2),6.529471053006607
Globodera,2042,20.16048062767186,Polynomial (degree=2),6.529471053006607
Globodera,2043,20.57356909425289,Polynomial (degree=2),6.529471053006607
Aphelenchoides,2023,12.825484158013749,Exponential,3.7181834005298118
Aphelenchoides,2024,13.814292220807003,Exponential,3.7181834005298118
Aphelenchoides,2025,14.88513315982461,Exponential,3.7181834005298118
Aphelenchoides,2026,16.044812535250458,Exponential,3.7181834005298118
Aphelenchoides,2027,17.30070050589699,Exponential,3.7181834005298118
Aphelenchoides,2028,18.660778669083697,Exponential,3.7181834005298118
Aphelenchoides,2029,20.133690786416143,Exponential,3.7181834005298118
Aphelenchoides,2030,21.728797717845417,Exponential,3.7181834005298118
Aphelenchoides,2031,23.456236913132777,Exponential,3.7181834005298118
Aphelenchoides,2032,25.326986838807773,Exponential,3.7181834005298118
Aphelenchoides,2033,27.352936750075628,Exponential,3.7181834005298118
Aphelenchoides,2034,29.546962251097792,Exponential,3.7181834005298118
Aphelenchoides,2035,31.923007123857253,Exponential,3.7181834005298118
Aphelenchoides,2036,34.49617194565918,Exponential,3.7181834005298118
Aphelenchoides,2037,37.28281005846106,Exponential,3.7181834005298118
Aphelenchoides,2038,40.300631499950356,Exponential,3.7181834005298118
Aphelenchoides,2039,43.56881555688756,Exponential,3.7181834005298118
Aphelenchoides,2040,47.10813265602895,Exponential,3.7181834005298118
Aphelenchoides,2041,50.94107636728795,Exponential,3.7181834005298118
Aphelenchoides,2042,55.09200635806049,Exponential,3.7181834005298118
Ditylenchus,2024,7.598675591878873,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2025,7.748037278413449,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2026,7.898692427922015,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2027,8.050641040402297,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2028,8.20388311585566,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2029,8.358418654282104,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2030,8.514247655681174,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2031,8.671370120053325,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2032,8.829786047398557,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2033,8.989495437716414,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2034,9.150498291007352,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2035,9.312794607271371,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2036,9.476384386508016,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2037,9.641267628717742,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2038,9.807444333900548,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2039,9.97491450205598,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2040,10.143678133184494,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2041,10.313735227286088,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2042,10.485085784360308,Polynomial (degree=2),3.6963254108009482
Ditylenchus,2043,10.657729804407609,Polynomial (degree=2),3.6963254108009482
