Country,N_Genera,N_Species,N_Publications,Mean_Citations,Total_Citations,Citations_Per_Paper
Brazil; Colombia; Colombia,1,1,1,7.0,7,7.0
Brazil; Costa Rica; United States; Russia; Brazil; Germany,1,1,2,32.0,64,32.0
Brazil; Cuba,1,1,2,23.0,46,23.0
Brazil; Denmark; Brazil; Brazil; France; Brazil; Pakistan; Brazil,1,1,1,1.0,1,1.0
Brazil; France,1,1,1,6.0,6,6.0
Brazil; France; Brazil,2,4,5,10.2,51,10.2
Brazil; France; France; Brazil,1,1,2,8.5,17,8.5
Brazil; France; France; Brazil; Brazil; Brazil,1,1,1,12.0,12,12.0
Brazil; India; France; Brazil,1,1,1,29.0,29,29.0
Brazil; India; India,1,1,1,1.0,1,1.0
Brazil; India; Poland,1,1,1,0.0,0,0.0
Brazil; Kenya; Brazil,1,1,1,15.0,15,15.0
Brazil; Peru,1,1,2,1.0,2,1.0
Brazil; Portugal; Brazil,2,2,2,3.5,7,3.5
Brazil; Portugal; Brazil; Japan; Portugal; Colombia,1,1,1,7.0,7,7.0
Brazil; Spain; Brazil,1,2,2,3.0,6,3.0
Brazil; Spain; Spain,1,1,1,40.0,40,40.0
Brazil; Switzerland; Netherlands; Brazil,1,1,1,20.0,20,20.0
Brazil; United Kingdom,1,2,3,6.333333333333333,19,6.333333333333333
Brazil; United Kingdom; Poland,1,1,1,12.0,12,12.0
Brazil; United Kingdom; United Kingdom; Bulgaria; United Kingdom,1,1,1,11.0,11,11.0
Brazil; United States,4,4,8,14.5,116,14.5
Brazil; United States; Brazil,2,3,5,6.2,31,6.2
Brazil; United States; Brazil; Brazil,1,1,2,1.0,2,1.0
Brazil; United States; Netherlands,1,1,2,47.0,94,47.0
Brazil; United States; Turkey,1,1,1,38.0,38,38.0
Brazil; United States; United States,1,1,2,1.0,2,1.0
Bulgaria,6,8,11,10.454545454545455,115,10.454545454545455
Bulgaria; Brazil; United Kingdom,1,1,2,29.0,58,29.0
Bulgaria; Bulgaria,3,3,4,1.25,5,1.25
Bulgaria; China; China,1,1,1,5.0,5,5.0
Bulgaria; Czechia,1,1,1,1.0,1,1.0
Bulgaria; Greece; United Kingdom,1,1,1,13.0,13,13.0
Bulgaria; Italy,1,2,2,14.5,29,14.5
Bulgaria; Poland,1,1,1,8.0,8,8.0
Bulgaria; United Kingdom,2,2,4,18.5,74,18.5
Bulgaria; United Kingdom; Portugal; Portugal,1,1,2,8.0,16,8.0
Burkina Faso; South Africa; France,1,1,1,10.0,10,10.0
Cambodia; Belgium; Belgium; Netherlands,1,1,1,13.0,13,13.0
Cameroon,1,1,1,23.0,23,23.0
Cameroon; Cameroon; Burundi; France,1,1,1,0.0,0,0.0
Cameroon; France,1,1,1,7.0,7,7.0
